"","score_file"
"R08C01-10016495",0.130432
"R01C01-10018985",0.226
"R02C01-10018857",0.06513
"R03C01-10018982",0.130048
"R04C01-10018600",0.13
"R06C01-10018854",0.13
"R08C01-10018601",0.13
"R03C01-10014850",0.113034
"R06C01-10014047",0.06708
"R07C01-10014025",0.065
"R08C01-10014057",0.178
"R03C01-10014364",0.13
"R04C01-10018260",0.226
"R05C01-10018319",0.13
"R06C01-10018302",0.13
"R07C01-10011788",0.13
"R03C01-10011914",0.13
"R04C01-10009355",0.178
"R06C01-10012603",0.13
"R07C01-10007549",0.13
"R08C01-10007497",0.130048
"R01C01-10018140",0.13
"R02C01-10018264",0.178
"R03C01-10018245",0.13
"R04C01-10018103",0.13
"R05C01-10016487",0.13
"R06C01-10018217",0.13
"R07C01-10018210",0.178
"R08C01-10018102",0.13
"R01C01-10018357",0.178
"R02C01-10013417",0.178
"R03C01-10016465",0.13
"R05C01-10012746",0.13
"R06C01-10018415",0.130048
"R07C01-10018104",0.178
"R08C01-10018413",0.178048
"R02C01-10016379",0.178
"R03C01-10016467",0.113065
"R05C01-10016557",0.178
"R06C01-10016492",0.13
"R07C01-10016522",0.13
"R01C01-10016347",0.130096
"R02C01-10014331",0.13
"R04C01-10018352",0.13
"R05C01-10018492",0.178
"R06C01-10018419",0.13
"R07C01-10018411",0.13
"R08C01-10018444",0.13
"R01C01-10020592",0.13
"R02C01-10021419",0.178
"R03C01-10021372",0.13
"R04C01-10021403",0.13
"R05C01-10021400",0.178
"R06C01-10020666",0.13
"R07C01-10014748",0.178
"R08C01-10021417",0.178
"R01C01-10021373",0.178
"R02C01-10016271",0.13
"R03C01-10018556",0.13
"R04C01-10010174",0.178
"R06C01-10018343",0.13
"R07C01-10012651",0.178
"R08C01-10019059",0.13
"R02C01-10016288",0.13
"R03C01-10016298",0.13
"R04C01-10016285",0.13
"R07C01-10014583",0.161195
"R01C01-10018160",0.178
"R03C01-10018122",0.178
"R04C01-10013510",0.130288
"R05C01-10018163",0.178
"R06C01-10018110",0.177935
"R07C01-10018125",0.130048
"R08C01-10018167",0.130048
"R01C01-10025912",0.226
"R04C01-10028416",0.13
"R05C01-10026462",0.13
"R06C01-10028339",0.13
"R07C01-10026473",0.178
"R02C01-10022043",0.13
"R04C01-10021516",0.13
"R05C01-10021519",0.178
"R06C01-10016517",0.130048
"R03C01-10018538",0.130048
"R04C01-10018541",0.226
"R08C01-10018542",0.178
"R02C01-10014769",0.13
"R03C01-10018088",0.13
